"","fnde_raw","ipea_raw"
"1","polpa","polpa"
"2","couveflor","couveflor"
"3","alface","alface"
"4","cheiroverde","cheiroverde"
"5","maxixe","maxixe"
"6","banana","banana"
"7","abobora","abobora"
"8","limao","limao"
"9","abacaxi","abacaxi"
"10","farinha","farinha"
"11","feijao","feijao"
"12","couve","couve"
"13","tomate","tomate"
"14","chicoria","chicoria"
"15","acai","acai"
"16","pimentao","pimentao"
"17","repolho","repolho"
"18","cebola","cebola"
"19","macarrao","macarrao"
"20","suco","suco"
"21","batata","batata"
"22","cenoura","cenoura"
"23","mandioca","mandioca"
"24","laranja","laranja"
"25","melado","melado"
"26","vagem","vagem"
"27","pessego","pessego"
"28","melancia","melancia"
"29","pepino","pepino"
"30","doce","doce"
"31","beterraba","beterraba"
"32","alho","alho"
"33","acucar","acucar"
"34","caqui","caqui"
"35","brocolis","brocolis"
"36","milho","milho"
"37","abobrinha","abobrinha"
"38","berinjela","berinjela"
"39","mamao","mamao"
"40","maracuja","maracuja"
"41","manga","manga"
"42","coentro","coentro"
"43","ovo","ovo"
"44","melao","melao"
"45","quiabo","quiabo"
"46","inhame","inhame"
"47","chuchu","chuchu"
"48","pao","pao"
"49","acelga","acelga"
"50","cafe","cafe"
"51","rucula","rucula"
"52","biscoito","biscoito"
"53","leite","leite"
"54","mexerica","mexerica"
"55","bolo","bolo"
"56","abacate","abacate"
"57","almeirao","almeirao"
"58","queijo","queijo"
"59","carne","carne"
"60","arroz","arroz"
"61","beiju","beiju"
"62","tempero","tempero"
"63","uva","uva"
"64","mel","mel"
"65","cebolinha","cebolinha"
"66","salsa","salsa"
"67","goiaba","goiaba"
"68","fuba","fuba"
"69","graviola","graviola"
"70","taioba","taioba"
"71","vinagreira","vinagreira"
"72","pimenta","pimenta"
"73","acafrao","acafrao"
"74","acerola","acerola"
"75","caju","caju"
"76","rosca","rosca"
"77","camarao","camarao"
"78","cara","cara"
"79","bolacha","bolacha"
"80","iogurte","iogurte"
"81","amendoim","amendoim"
"82","vinagre","vinagre"
"83","maca","maca"
"84","massa","massa"
"85","salsinha","salsinha"
"86","morango","morango"
"87","kiwi","kiwi"
"88","rapadura","rapadura"
"89","coco","coco"
"90","cocada","cocada"
"91","jenipapo","jenipapo"
"92","agriao","agriao"
"93","tangerina","tangerina"
"94","manteiga","manteiga"
"95","manjericao","manjericao"
"96","escarola","escarola"
"97","extrato","extrato"
"98","peixe","peixe"
"99","canjiquinha","canjiquinha"
"100","oleo","oleo"
"101","canjica","canjica"
"102","tapioca","tapioca"
"103","rabanete","rabanete"
"104","vegetais","vegetais"
"105","ervilha","ervilha"
"106","espinafre","espinafre"
"107","gergelim","gergelim"
"108","polvilho","polvilho"
"109","pamonha","pamonha"
"110","pera","pera"
"111","jambu","jambu"
"112","cariru","cariru"
"113","cupuacu","cupuacu"
"114","urucum","urucum"
"115","fava","fava"
"116","outros","outros"
"117","castanha","castanha"
"118","lima","lima"
"119","molho","molho"
"120","hortela","hortela"
"121","carambola","carambola"
"122","ameixa","ameixa"
"123","peta","peta"
"124","jabuticaba","jabuticaba"
"125","sopa","sopa"
"126","creme","creme"
"127","figo","figo"
"128","nata","nata"
"129","mix","mix"
"130","bolinho","bolinho"
"131","broa","broa"
"132","oregano","oregano"
"133","pe","pe"
"134","banha","banha"
"135","pinhao","pinhao"
"136","achocolatado","achocolatado"
"137","fruta","fruta"
"138","palmito","palmito"
"139","requeijao","requeijao"
"140","azeite","azeite"
"141","pasta","pasta"
"142","salgado","salgado"
"143","flocos","flocos"
"144","louro","louro"
"145","cacau","cacau"
"146","granola","granola"
"147","caldo","caldo"
"148","mostarda","mostarda"
"149","barra","barra"
"150","fecula","fecula"
"151","caja","caja"
"152","umbu","umbu"
"153","jongome","jongome"
"154","mesocarpo","mesocarpo"
"155","trigo","trigo"
"156","tucupi","tucupi"
"157","tamarindo","tamarindo"
"158","mingau","mingau"
"159","nectarina","nectarina"
"160","amora","amora"
"161","citrus","citrus"
"162","alfavaca","alfavaca"
"163","erva","erva"
"164","jilo","jilo"
"165","caxi","caxi"
"166","nabo","nabo"
"167","lasanha","lasanha"
"168","produto","produto"
"169","framboesa","framboesa"
"170","salada","salada"
"171","torta","torta"
"172","frutas","frutas"
"173","taia","taia"
"174","gengibre","gengibre"
"175","capim","capim"
"176","jaca","jaca"
"177","murici","murici"
"178","tucuma","tucuma"
"179","salsao","salsao"
"180","mangaba","mangaba"
"181","buriti","buriti"
"182","marmelo","marmelo"
"183","pequi","pequi"
"184","araca","araca"
"185","sorvete","sorvete"
"186","aveia","aveia"
"187","xerem","xerem"
"188","soja","soja"
"189","linhaca","linhaca"
