"","fnde_raw","ipea_raw"
"1","cuca","acucar"
"2","cuca","cacau"
"3","cuca","caja"
"4","cuca","cana"
"5","cuca","cara"
"6","cuca","coco"
"7","cuca","fuba"
"8","cuca","jaca"
"9","cuca","lula"
"10","cuca","maca"
"11","cuca","suco"
"12","cuca","uva"
"13","amendoimao","amendoim"
"14","ora","amora"
"15","ora","broa"
"16","ora","cara"
"17","ora","erva"
"18","ora","ovo"
"19","ora","pera"
"20","ora","roma"
"21","ora","soja"
"22","ora","sopa"
"23","ora","sorda"
"24","ora","torta"
"25","ora","uva"
"26","frango","morango"
"27","galinha","farinha"
"28","galinha","salsinha"
"29","file","figo"
"30","file","jilo"
"31","un","pe"
"32","un","uva"
"33","bananada","banana"
"34","miudo","milho"
"35","corte","carne"
"36","corte","couve"
"37","corte","torta"
"38","iog","figo"
"39","iog","inga"
"40","goiabada","goiaba"
"41","mini","kiwi"
"42","mini","mana"
"43","mini","mix"
"44","","pe"
"45","baru","barra"
"46","baru","caju"
"47","baru","cara"
"48","grango","morango"
"49","iorgute","iogurte"
"50","raiz","taia"
"51","pipoca","pacoca"
"52","abobobora","abobora"
"53","goiabaid","goiaba"
"54","laranjaid","laranja"
"55","ponca","pinha"
"56","ponca","polpa"
"57","ponca","rosca"
"58","ponca","ponkan"
"59","chimia","chicha"
"60","beb","mel"
"61","beb","pe"
"62","tortei","torta"
"63","caixa","caja"
"64","caixa","cana"
"65","caixa","cara"
"66","caixa","caxi"
"67","caixa","taia"
"68","aipo","alho"
"69","aipo","figo"
"70","aipo","jilo"
"71","aipo","aipim"
"72","figado","figo"
"73","acc","acai"
"74","acc","jaca"
"75","acc","maca"
"76","pote","doce"
"77","pote","pe"
"78","pote","peta"
"79","grao","agriao"
"80","grao","broa"
"81","grao","pao"
"82","alcega","acelga"
"83","macacheira","macaxeira"
"84","poupas","polpa"
"85","lombo","bombom"
"86","lombo","jambo"
"87","lombo","limao"
"88","lombo","louro"
"89","frago","figo"
"90","frago","trigo"
"91","coxa","caja"
"92","coxa","cana"
"93","coxa","cara"
"94","coxa","caxi"
"95","coxa","coco"
"96","coxa","roma"
"97","coxa","soja"
"98","coxa","sopa"
"99","sonho","molho"
"100","c","pe"
"101","alfaceid","alface"
"102","brocolisid","brocolis"
"103","br","broa"
"104","br","pe"
"105","mam","maca"
"106","mam","mamao"
"107","mam","mana"
"108","mam","mel"
"109","mam","mix"
"110","mam","pao"
"111","raspa","massa"
"112","raspa","pasta"
"113","raspa","rosca"
"114","vinho","milho"
"115","vinho","pinha"
"116","vinho","pinhao"
"117","cominho","bolinho"
"118","paes","aves"
"119","paes","pao"
"120","paes","pe"
"121","req","mel"
"122","req","pe"
"123","preparado","preparacao"
"124","isca","inga"
"125","isca","jaca"
"126","isca","maca"
"127","isca","rosca"
"128","abobobrinha","abobrinha"
"129","chu","caju"
"130","ravioli","graviola"
"131","sal","mel"
"132","sal","pao"
"133","sal","salsa"
"134","t","pe"
"135","melacos","melado"
"136","melacos","melao"
"137","salvia","salada"
"138","salvia","salsa"
"139","pastel","pasta"
"140","pizza","pinha"
"141","poejo","polvo"
"142","gerimun","jerimum"
"143","couveflorid","couveflor"
"144","broto","bolo"
"145","broto","broa"
"146","flocao","flocos"
"147","moida","sorda"
"148","xicoria","chicoria"
"149","ovovs","ovo"
"150","peito","peixe"
"151","peito","leite"
"152","peito","pepino"
"153","peito","peta"
"154","ovosd","ovo"
"155","cubos","sucos"
"156","abrobinha","abobrinha"
"157","polenta","pimenta"
"158","pocan","ponkan"
"159","blos","bolo"
"160","blos","broa"
"161","sidro","cidra"
"162","beterra","beterraba"
"163","palma","pasta"
"164","palma","polpa"
"165","palma","salsa"
"166","brocolo","brocolis"
"167","nozinho","bolinho"
"168","poncam","ponkan"
"169","macarracao","macarrao"
"170","papinha","farinha"
"171","papinha","pamonha"
"172","papinha","pinha"
"173","cha","caja"
"174","cha","cana"
"175","cha","cara"
"176","cha","uva"
"177","panc","cana"
"178","panc","mana"
"179","panc","pao"
"180","folha","molho"
"181","folha","polpa"
"182","ac","acai"
"183","ac","jaca"
"184","ac","maca"
"185","ac","pao"
"186","ac","pe"
"187","salame","salada"
"188","canela","cana"
"189","arraia","araca"
"190","bife","cafe"
"191","bala","banha"
"192","bala","barra"
"193","bala","bolo"
"194","bala","broa"
"195","bala","caja"
"196","bala","cana"
"197","bala","cara"
"198","bala","fava"
"199","bala","jaca"
"200","bala","lula"
"201","bala","maca"
"202","bala","mana"
"203","bala","nata"
"204","bala","salsa"
"205","bala","taia"
"206","kg","pe"
"207","cuxa","caja"
"208","cuxa","cana"
"209","cuxa","cara"
"210","cuxa","caxi"
"211","cuxa","fuba"
"212","cuxa","lula"
"213","cuxa","uva"
"214","cn","cana"
"215","cn","pe"
"216","polplas","polpa"
"217","fibra","cidra"
"218","fibra","fuba"
"219","ciriguela","seriguela"
"220","feij","beiju"
"221","feij","feijao"
"222","brocole","brocolis"
"223","pitaia","taia"
"224","joao","bolo"
"225","joao","coco"
"226","joao","jilo"
"227","joao","ovo"
"228","joao","pao"
"229","curau","cacau"
"230","curau","cara"
"231","maracujina","maracuja"
"232","beijumg","beiju"
"233","poca","doce"
"234","poca","coco"
"235","poca","jaca"
"236","poca","maca"
"237","poca","pacoca"
"238","poca","pera"
"239","poca","peta"
"240","poca","polpa"
"241","poca","roma"
"242","poca","rosca"
"243","poca","soja"
"244","poca","sopa"
"245","biscoitode","biscoito"
"246","pouca","polpa"
"247","pouca","rosca"
"248","amendoins","amendoim"
"249","bisto","risoto"
"250","ricota","risoto"
"251","a","pao"
"252","a","pe"
"253","a","uva"
"254","sua","fuba"
"255","sua","lula"
"256","sua","soja"
"257","sua","sopa"
"258","sua","suco"
"259","sua","uva"
"260","coen","coco"
"261","iame","cafe"
"262","iame","inhame"
"263","sagu","caju"
"264","tanja","banha"
"265","tanja","caja"
"266","tanja","cana"
"267","tanja","mana"
"268","tanja","manga"
"269","tanja","taia"
"270","magas","maca"
"271","magas","mamao"
"272","magas","mana"
"273","magas","manga"
"274","magas","massa"
"275","xero","nego"
"276","xero","pera"
"277","xero","xerem"
"278","hortali+as","hortalica"
"279","vs","aves"
"280","vs","ovo"
"281","vs","pe"
"282","vs","uva"
"283","seboliha","cebolinha"
"284","moraga","morango"
"285","coveada","cocada"
"286","tang","cana"
"287","tang","mana"
"288","tang","manga"
"289","tang","taia"
"290","ma","lima"
"291","ma","maca"
"292","ma","mana"
"293","ma","mel"
"294","ma","mix"
"295","ma","pao"
"296","ma","pe"
"297","ma","roma"
"298","ma","uva"
"299","tempverd","tempero"
"300","pene","peixe"
"301","pene","pe"
"302","pene","pera"
"303","pene","peta"
"304","pimenentao","pimentao"
"305","costela","hortela"
"306","repolhoid","repolho"
"307","mangaid","manga"
"308","mangaid","mangaba"
"309","mangaid","mangalo"
"310","coentroao","coentro"
"311","misto","milho"
"312","misto","risoto"
"313","coentroid","coentro"
"314","rxx","mix"
"315","jamelao","melao"
"316","quinoa","suino"
"317","vos","aves"
"318","vos","ovo"
"319","aboborara","abobora"
"320","kit","kiwi"
"321","kit","mix"
"322","sardinha","farinha"
"323","sardinha","salsinha"
"324","porco","coco"
"325","porco","polvo"
"326","aboboraad","abobora"
"327","abacatekg","abacate"
"328","ruculakg","rucula"
"329","tomatekg","tomate"
"330","cenourakg","cenoura"
"331","beterrabakg","beterraba"
"332","salsinhakg","salsinha"
"333","limaokg","limao"
"334","almeiraokg","almeirao"
"335","uvakg","uva"
"336","uvakg","uvaia"
"337","alfacekg","alface"
"338","pepinokg","pepino"
"339","pimentaokg","pimentao"
"340","goiabakg","goiaba"
"341","acelgakg","acelga"
"342","couveflorkg","couveflor"
"343","berinjelakg","berinjela"
"344","vagemkg","vagem"
"345","morangokg","morango"
"346","melanciakg","melancia"
"347","brocoliskg","brocolis"
"348","cucas","acucar"
"349","cucas","cacau"
"350","cucas","sucos"
"351","quiabokg","quiabo"
"352","id","mix"
"353","id","pe"
"354","chipa","chicha"
"355","n","pe"
"356","arrozao","arroz"
"357","moela","mel"
"358","moela","melao"
"359","pimemeta","pimenta"
"360","berijenla","berinjela"
"361","palpo","alho"
"362","palpo","caldo"
"363","palpo","pao"
"364","palpo","polpa"
"365","palpo","polvo"
