fnde_raw;ipea_raw;verif;check;;;
polpa;polpa;VERDADEIRO;1;;;VERDADEIRO
couveflor;couveflor;VERDADEIRO;1;;;FALSO
alface;alface;VERDADEIRO;1;;;
cheiroverde;cheiroverde;VERDADEIRO;1;;;
maxixe;maxixe;VERDADEIRO;1;;;
banana;banana;VERDADEIRO;1;;;
abobora;abobora;VERDADEIRO;1;;;
limao;limao;VERDADEIRO;1;;;
abacaxi;abacaxi;VERDADEIRO;1;;;
farinha;farinha;VERDADEIRO;1;;;
feijao;feijao;VERDADEIRO;1;;;
couve;couve;VERDADEIRO;1;;;
tomate;tomate;VERDADEIRO;1;;;
jerimum;jerimum;VERDADEIRO;1;;;
chicoria;chicoria;VERDADEIRO;1;;;
acai;acai;VERDADEIRO;1;;;
pimentao;pimentao;VERDADEIRO;1;;;
repolho;repolho;VERDADEIRO;1;;;
cebola;cebola;VERDADEIRO;1;;;
macarrao;macarrao;VERDADEIRO;1;;;
suco;suco;VERDADEIRO;1;;;
batata;batata;VERDADEIRO;1;;;
cenoura;cenoura;VERDADEIRO;1;;;
mandioca;mandioca;VERDADEIRO;1;;;
bergamota;bergamota;VERDADEIRO;1;;;
laranja;laranja;VERDADEIRO;1;;;
melado;melado;VERDADEIRO;1;;;
vagem;vagem;VERDADEIRO;1;;;
pessego;pessego;VERDADEIRO;1;;;
melancia;melancia;VERDADEIRO;1;;;
pepino;pepino;VERDADEIRO;1;;;
doce;doce;VERDADEIRO;1;;;
beterraba;beterraba;VERDADEIRO;1;;;
alho;alho;VERDADEIRO;1;;;
acucar;acucar;VERDADEIRO;1;;;
caqui;caqui;VERDADEIRO;1;;;
brocolis;brocolis;VERDADEIRO;1;;;
milho;milho;VERDADEIRO;1;;;
abobrinha;abobrinha;VERDADEIRO;1;;;
berinjela;berinjela;VERDADEIRO;1;;;
mamao;mamao;VERDADEIRO;1;;;
macaxeira;macaxeira;VERDADEIRO;1;;;
maracuja;maracuja;VERDADEIRO;1;;;
manga;manga;VERDADEIRO;1;;;
coentro;coentro;VERDADEIRO;1;;;
ovo;ovo;VERDADEIRO;1;;;
melao;melao;VERDADEIRO;1;;;
quiabo;quiabo;VERDADEIRO;1;;;
inhame;inhame;VERDADEIRO;1;;;
chuchu;chuchu;VERDADEIRO;1;;;
pao;pao;VERDADEIRO;1;;;
acelga;acelga;VERDADEIRO;1;;;
cafe;cafe;VERDADEIRO;1;;;
rucula;rucula;VERDADEIRO;1;;;
biscoito;biscoito;VERDADEIRO;1;;;
leite;leite;VERDADEIRO;1;;;
mexerica;mexerica;VERDADEIRO;1;;;
bolo;bolo;VERDADEIRO;1;;;
abacate;abacate;VERDADEIRO;1;;;
almeirao;almeirao;VERDADEIRO;1;;;
queijo;queijo;VERDADEIRO;1;;;
carne;carne;VERDADEIRO;1;;;
arroz;arroz;VERDADEIRO;1;;;
beiju;beiju;VERDADEIRO;1;;;
tempero;tempero;VERDADEIRO;1;;;
uva;uva;VERDADEIRO;1;;;
mel;mel;VERDADEIRO;1;;;
cebolinha;cebolinha;VERDADEIRO;1;;;
salsa;salsa;VERDADEIRO;1;;;
goiaba;goiaba;VERDADEIRO;1;;;
fuba;fuba;VERDADEIRO;1;;;
graviola;graviola;VERDADEIRO;1;;;
taioba;taioba;VERDADEIRO;1;;;
vinagreira;vinagreira;VERDADEIRO;1;;;
colorau;colorau;VERDADEIRO;1;;;
pimenta;pimenta;VERDADEIRO;1;;;
acafrao;acafrao;VERDADEIRO;1;;;
acerola;acerola;VERDADEIRO;1;;;
caju;caju;VERDADEIRO;1;;;
rosca;rosca;VERDADEIRO;1;;;
aipim;aipim;VERDADEIRO;1;;;
camarao;camarao;VERDADEIRO;1;;;
cara;cara;VERDADEIRO;1;;;
bolacha;bolacha;VERDADEIRO;1;;;
iogurte;iogurte;VERDADEIRO;1;;;
amendoim;amendoim;VERDADEIRO;1;;;
vinagre;vinagre;VERDADEIRO;1;;;
maca;maca;VERDADEIRO;1;;;
massa;massa;VERDADEIRO;1;;;
salsinha;salsinha;VERDADEIRO;1;;;
morango;morango;VERDADEIRO;1;;;
kiwi;kiwi;VERDADEIRO;1;;;
rapadura;rapadura;VERDADEIRO;1;;;
coco;coco;VERDADEIRO;1;;;
cocada;cocada;VERDADEIRO;1;;;
jenipapo;jenipapo;VERDADEIRO;1;;;
agriao;agriao;VERDADEIRO;1;;;
tangerina;tangerina;VERDADEIRO;1;;;
manteiga;manteiga;VERDADEIRO;1;;;
manjericao;manjericao;VERDADEIRO;1;;;
escarola;escarola;VERDADEIRO;1;;;
extrato;extrato;VERDADEIRO;1;;;
peixe;peixe;VERDADEIRO;1;;;
canjiquinha;canjiquinha;VERDADEIRO;1;;;
oleo;oleo;VERDADEIRO;1;;;
canjica;canjica;VERDADEIRO;1;;;
tapioca;tapioca;VERDADEIRO;1;;;
rabanete;rabanete;VERDADEIRO;1;;;
ponkan;ponkan;VERDADEIRO;1;;;
vegetais;vegetais;VERDADEIRO;1;;;
ervilha;ervilha;VERDADEIRO;1;;;
espinafre;espinafre;VERDADEIRO;1;;;
gergelim;gergelim;VERDADEIRO;1;;;
polvilho;polvilho;VERDADEIRO;1;;;
pamonha;pamonha;VERDADEIRO;1;;;
pera;pera;VERDADEIRO;1;;;
jambu;jambu;VERDADEIRO;1;;;
cariru;cariru;VERDADEIRO;1;;;
cupuacu;cupuacu;VERDADEIRO;1;;;
urucum;urucum;VERDADEIRO;1;;;
fava;fava;VERDADEIRO;1;;;
outros;outros;VERDADEIRO;1;;;
castanha;castanha;VERDADEIRO;1;;;
lima;lima;VERDADEIRO;1;;;
molho;molho;VERDADEIRO;1;;;
hortela;hortela;VERDADEIRO;1;;;
carambola;carambola;VERDADEIRO;1;;;
ameixa;ameixa;VERDADEIRO;1;;;
peta;peta;VERDADEIRO;1;;;
jabuticaba;jabuticaba;VERDADEIRO;1;;;
sopa;sopa;VERDADEIRO;1;;;
creme;creme;VERDADEIRO;1;;;
figo;figo;VERDADEIRO;1;;;
nata;nata;VERDADEIRO;1;;;
mix;mix;VERDADEIRO;1;;;
bolinho;bolinho;VERDADEIRO;1;;;
broa;broa;VERDADEIRO;1;;;
mugunza;mugunza;VERDADEIRO;1;;;
oregano;oregano;VERDADEIRO;1;;;
pe;pe;VERDADEIRO;1;;;
banha;banha;VERDADEIRO;1;;;
pinhao;pinhao;VERDADEIRO;1;;;
achocolatado;achocolatado;VERDADEIRO;1;;;
fruta;fruta;VERDADEIRO;1;;;
palmito;palmito;VERDADEIRO;1;;;
requeijao;requeijao;VERDADEIRO;1;;;
azeite;azeite;VERDADEIRO;1;;;
pasta;pasta;VERDADEIRO;1;;;
salgado;salgado;VERDADEIRO;1;;;
flocos;flocos;VERDADEIRO;1;;;
louro;louro;VERDADEIRO;1;;;
cacau;cacau;VERDADEIRO;1;;;
granola;granola;VERDADEIRO;1;;;
caldo;caldo;VERDADEIRO;1;;;
mostarda;mostarda;VERDADEIRO;1;;;
barra;barra;VERDADEIRO;1;;;
fecula;fecula;VERDADEIRO;1;;;
caja;caja;VERDADEIRO;1;;;
umbu;umbu;VERDADEIRO;1;;;
jongome;jongome;VERDADEIRO;1;;;
mesocarpo;mesocarpo;VERDADEIRO;1;;;
trigo;trigo;VERDADEIRO;1;;;
tucupi;tucupi;VERDADEIRO;1;;;
tamarindo;tamarindo;VERDADEIRO;1;;;
mingau;mingau;VERDADEIRO;1;;;
nectarina;nectarina;VERDADEIRO;1;;;
amora;amora;VERDADEIRO;1;;;
citrus;citrus;VERDADEIRO;1;;;
alfavaca;alfavaca;VERDADEIRO;1;;;
erva;erva;VERDADEIRO;1;;;
jilo;jilo;VERDADEIRO;1;;;
caxi;caxi;VERDADEIRO;1;;;
nabo;nabo;VERDADEIRO;1;;;
lasanha;lasanha;VERDADEIRO;1;;;
produto;produto;VERDADEIRO;1;;;
framboesa;framboesa;VERDADEIRO;1;;;
salada;salada;VERDADEIRO;1;;;
torta;torta;VERDADEIRO;1;;;
frutas;frutas;VERDADEIRO;1;;;
taia;taia;VERDADEIRO;1;;;
gengibre;gengibre;VERDADEIRO;1;;;
capim;capim;VERDADEIRO;1;;;
jaca;jaca;VERDADEIRO;1;;;
murici;murici;VERDADEIRO;1;;;
tucuma;tucuma;VERDADEIRO;1;;;
salsao;salsao;VERDADEIRO;1;;;
mangaba;mangaba;VERDADEIRO;1;;;
buriti;buriti;VERDADEIRO;1;;;
marmelo;marmelo;VERDADEIRO;1;;;
pequi;pequi;VERDADEIRO;1;;;
araca;araca;VERDADEIRO;1;;;
sorvete;sorvete;VERDADEIRO;1;;;
aveia;aveia;VERDADEIRO;1;;;
xerem;xerem;VERDADEIRO;1;;;
soja;soja;VERDADEIRO;1;;;
linhaca;linhaca;VERDADEIRO;1;;;
