"","fnde_raw","ipea_raw"
"1","rosquiha","rosca"
"2","mandiocaauda","mandioca"
"3","tapereba","acerola"
"4","tapereba","tangerina"
"5","tapereba","pera"
"6","tapereba","taioba"
"7","tapereba","tapioca"
"8","chocolate","achocolatado"
"9","tambaqui","caqui"
"10","tambaqui","babacu"
"11","tambaqui","jambu"
"12","ovoande","ovo"
"13","sequilho","ervilha"
"14","sequilho","milho"
"15","sequilho","pequi"
"16","sequilho","polvilho"
"17","sequilho","quiabo"
"18","sequilho","repolho"
"19","sequilho","requeijao"
"20","sequilho","serralha"
"21","sequilho","suino"
"22","grostoli","brocolis"
"23","grostoli","granola"
"24","grostoli","graviola"
"25","geladinho","bolinho"
"26","geladinho","melado"
"27","sequinhos","suino"
"28","merenda","amendoa"
"29","merenda","erva"
"30","merenda","farinha"
"31","merenda","laranja"
"32","merenda","mana"
"33","merenda","manga"
"34","merenda","melado"
"35","merenda","melancia"
"36","merenda","mexerica"
"37","merenda","morango"
"38","merenda","pera"
"39","merenda","pimenta"
"40","merenda","sorda"
"41","merenda","xerem"
"42","merenda","mugunza"
"43","moranguinho","morango"
"44","geleias","vegetais"
"45","geleias","aveia"
"46","geleias","leite"
"47","geleias","melao"
"48","frangoado","mangalo"
"49","frangoado","salgado"
"50","murcote","abacate"
"51","murcote","buriti"
"52","murcote","sucos"
"53","murcote","murici"
"54","murcote","sorvete"
"55","murcote","suco"
"56","batatadoce","batata"
"57","quirrera","quibe"
"58","bananaande","banana"
"59","cocoidade","cocada"
"60","fermento","marmelo"
"61","fermento","pimenta"
"62","fermento","pimentao"
"63","xodozinho","bolinho"
"64","xodozinho","toucinho"
"65","concentrado","coentro"
"66","salgadinhos","salgado"
"67","paezinhos","pepino"
"68","camomila","ameixa"
"69","camomila","amora"
"70","camomila","cagaita"
"71","camomila","canjica"
"72","camomila","carambola"
"73","camomila","cebola"
"74","camomila","pamonha"
"75","alecrim","acai"
"76","alecrim","almeirao"
"77","alecrim","amendoim"
"78","alecrim","atemoia"
"79","alecrim","aveia"
"80","alecrim","lichia"
"81","alecrim","xerem"
"82","alecrim","aipim"
"83","ostoli","bolo"
"84","ostoli","cebola"
"85","ostoli","outros"
"86","ostoli","hortela"
"87","ostoli","jatoba"
"88","ostoli","oleo"
"89","ostoli","ovo"
"90","ostoli","soja"
"91","ostoli","sopa"
"92","nhoque","doce"
"93","nhoque","caqui"
"94","nhoque","cookie"
"95","nhoque","couve"
"96","nhoque","croquete"
"97","nhoque","inhame"
"98","nhoque","pequi"
"99","couveflorauda","couveflor"
"100","repolhoroxo","repolho"
"101","ovosanja","laranja"
"102","ovosanja","lasanha"
"103","picles","doce"
"104","picles","peixe"
"105","picles","sucos"
"106","picles","citrus"
"107","picles","aves"
"108","picles","jilo"
"109","picles","lichia"
"110","picles","milho"
"111","picles","oleo"
"112","picles","pacoca"
"113","picles","pe"
"114","picles","pinha"
"115","picles","pinhao"
"116","picles","polpa"
"117","picles","polvo"
"118","pirogue","iogurte"
"119","pirogue","produto"
"120","pirogue","vinagre"
"121","bombocado","bombom"
"122","ovosami","ovo"
"123","conserva","cenoura"
"124","conserva","erva"
"125","kabotia","abobora"
"126","kabotia","amora"
"127","kabotia","aveia"
"128","kabotia","batata"
"129","kabotia","cagaita"
"130","kabotia","cebola"
"131","kabotia","jatoba"
"132","kabotia","nabo"
"133","kabotia","nata"
"134","kabotia","pacoca"
"135","kabotia","pamonha"
"136","kabotia","pasta"
"137","kabotia","taia"
"138","kabotia","taioba"
"139","quitanda","castanha"
"140","quitanda","mostarda"
"141","quitanda","quiabo"
"142","pedacos","sucos"
"143","pedacos","flocos"
"144","pedacos","melado"
"145","pedacos","melao"
"146","pedacos","pacoca"
"147","pedacos","pao"
"148","pedacos","pepino"
"149","pedacos","pera"
"150","pedacos","peta"
"151","esfirra","barra"
"152","esfirra","cidra"
"153","esfirra","erva"
"154","esfirra","ervilha"
"155","esfirra","escarola"
"156","esfirra","nespera"
"157","esfirra","sorda"
"158","casadinho","castanha"
"159","casadinho","catalonha"
"160","casadinho","lasanha"
"161","casadinho","tamarindo"
"162","mussarela","escarola"
"163","mussarela","mostarda"
"164","alhoaudo","alho"
"165","alhoaudo","louro"
"166","alhoaudo","salgado"
"167","alfaceespa","alface"
"168","cabotian","cagaita"
"169","cabotian","cebola"
"170","fubaosso","fuba"
"171","batataauda","batata"
"172","verduras","cenoura"
"173","verduras","frutas"
"174","melanciaauda","melancia"
"175","chiringa","biriba"
"176","chiringa","chicha"
"177","chiringa","chicoria"
"178","chiringa","farinha"
"179","chiringa","inga"
"180","cenouraande","cenoura"
"181","vagemauda","vagem"
"182","compota","amora"
"183","compota","bombom"
"184","compota","cagaita"
"185","compota","cebola"
"186","compota","cocada"
"187","compota","coco"
"188","compota","peta"
"189","compota","pimenta"
"190","compota","polpa"
"191","compota","roma"
"192","compota","sopa"
"193","compota","tomate"
"194","compota","torta"
"195","compota","colorau"
"196","cenouraauda","cenoura"
"197","azedinha","abobrinha"
"198","azedinha","ameixa"
"199","azedinha","aveia"
"200","azedinha","azeite"
"201","azedinha","farinha"
"202","azedinha","pinha"
"203","azedinha","salsinha"
"204","radiche","doce"
"205","radiche","chicha"
"206","radiche","farinha"
"207","radiche","maxixe"
"208","luinguica","linhaca"
"209","longuica","canjica"
"210","longuica","linhaca"
"211","longuica","panqueca"
"212","sequilos","sucos"
"213","sequilos","pequi"
"214","sequilos","suino"
"215","laranjaauda","laranja"
"216","tangerinaauda","tangerina"
"217","biscoitozero","biscoito"
"218","laranjapera","laranja"
"219","tempverdch","tempero"
"220","beliscao","bolinho"
"221","beliscao","feijao"
"222","beliscao","limao"
"223","beliscao","marisco"
"224","beliscao","melao"
"225","beliscao","salsao"
"226","vassoura","amora"
"227","vassoura","cenoura"
"228","vassoura","massa"
"229","vassoura","rapadura"
"230","grostole","granola"
"231","grostole","graviola"
"232","chimango","camarao"
"233","chimango","limao"
"234","chimango","manga"
"235","chimango","morango"
"236","empadinha","farinha"
"237","empadinha","pamonha"
"238","empadinha","pinha"
"239","abacaxiaudo","abacaxi"
"240","aboboraauda","abobora"
"241","essencia","melancia"
"242","gelatina","melancia"
"243","gelatina","nectarina"
"244","legumes","cogumelo"
"245","legumes","leite"
"246","lanches","banha"
"247","lanches","aves"
"248","lanches","lichia"
"249","guandu","banha"
"250","guandu","cacau"
"251","guandu","caju"
"252","guandu","caldo"
"253","guandu","cana"
"254","guandu","granola"
"255","guandu","jambu"
"256","guandu","mana"
"257","guandu","manga"
"258","guandu","suino"
"259","guandu","umbu"
"260","proteina","hortela"
"261","proteina","manteiga"
"262","mandiocaadae","mandioca"
"263","murcota","broa"
"264","murcota","buriti"
"265","murcota","sucos"
"266","murcota","fruta"
"267","murcota","maca"
"268","murcota","maracuja"
"269","murcota","murici"
"270","murcota","pacoca"
"271","murcota","roma"
"272","murcota","rucula"
"273","murcota","suco"
"274","murcota","torta"
"275","murcota","tucuma"
"276","murcota","mugunza"
"277","almondega","amendoa"
"278","rapadurinhae","rapadura"
